Familia,Geracao,NumMembros,Status,Metodo,Localizacao,Faixa_Nivel,Observacao
SPEAROW,1,2,Implementado,Correção de flag (P_FAMILY_SPEAROW estava FALSE apesar de conteúdo alcançável já referenciar a espécie),data/maps/Gate_GoldenrodCity_Route35/scripts.inc:18-20,-,Bug-fix: família só precisava do flag P_FAMILY_* habilitado.
OMANYTE,1,2,Implementado,Correção de flag; já entregue via restauração de fóssil existente,data/maps/RuinsOfAlph_Lab/scripts.pory (ReceiveOmanyte),20,Bug-fix: família só precisava do flag P_FAMILY_* habilitado.
SENTRET,2,2,Implementado,Correção de flag; espécie já referenciada em conteúdo alcançável,(ver auditoria original),-,Bug-fix: família só precisava do flag P_FAMILY_* habilitado.
SHUCKLE,2,1,Implementado,Correção de flag; espécie já referenciada em conteúdo alcançável,(ver auditoria original),-,Bug-fix: família só precisava do flag P_FAMILY_* habilitado.
REMORAID,2,2,Implementado,Correção de flag; espécie já referenciada em conteúdo alcançável,(ver auditoria original),-,Bug-fix: família só precisava do flag P_FAMILY_* habilitado.
LOTAD,3,3,Implementado,Correção de flag; espécie já referenciada em conteúdo alcançável,(ver auditoria original),-,Bug-fix: família só precisava do flag P_FAMILY_* habilitado.
SEEDOT,3,3,Implementado,Correção de flag; espécie já referenciada em conteúdo alcançável,(ver auditoria original),-,Bug-fix: família só precisava do flag P_FAMILY_* habilitado.
SPINDA,3,1,Implementado,Correção de flag; espécie já referenciada em conteúdo alcançável,(ver auditoria original),-,Bug-fix: família só precisava do flag P_FAMILY_* habilitado.
ANORITH,3,2,Implementado,Correção de flag; já entregue via restauração de fóssil existente,data/maps/RuinsOfAlph_Lab/scripts.pory (ReceiveAnorith),20,Bug-fix: família só precisava do flag P_FAMILY_* habilitado.
CASTFORM,3,1,Implementado,Correção de flag; disponível via Gacha (evidência de script morto descartada),src/game_corner_gacha.c,-,Bug-fix: família só precisava do flag P_FAMILY_* habilitado.
KECLEON,3,1,Implementado,Correção de flag + novo encontro selvagem (cadeia original do Devon Scope é inalcançável neste hack),MAP_ROUTE50,50-55,Bug-fix: família só precisava do flag P_FAMILY_* habilitado.
CLAMPERL,3,3,Implementado,Correção de flag; espécie já referenciada em conteúdo alcançável,(ver auditoria original),-,Bug-fix: família só precisava do flag P_FAMILY_* habilitado.
RELICANTH,3,1,Implementado,Correção de flag; espécie já referenciada em conteúdo alcançável,(ver auditoria original),-,Bug-fix: família só precisava do flag P_FAMILY_* habilitado.
SMEARGLE,2,1,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ROUTE34,12-14,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
PLUSLE,3,1,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ROUTE38,21-23,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
MINUN,3,1,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ROUTE43,25-27,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
ZANGOOSE,3,1,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ROUTE47,33-50,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
SEVIPER,3,1,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ROUTE48,30-32,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
LUNATONE,3,1,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_BURNED_TOWER_B1F,19-21,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
SOLROCK,3,1,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_FOGGY_FOREST,28-35,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
PARAS,1,2,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ROUTE30,3-4,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
VENONAT,1,2,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ROUTE31,5,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
PSYDUCK,1,2,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ROUTE40 (pesca),10,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
DODUO,1,2,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ROUTE46,2-3,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
DROWZEE,1,2,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_SPROUT_TOWER_2F,3-6,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
KRABBY,1,2,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ROUTE41 (pesca),10,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
GOLDEEN,1,2,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_WHIRL_ISLANDS_1F (pesca),10,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
JYNX,1,1,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ICE_PATH_1F,32-40,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
LEDYBA,2,2,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ILEX_FOREST,11-15,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
SUNKERN,2,2,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_NATIONAL_PARK_NORMAL,13-14,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
PINECO,2,2,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ROUTE36,6-7,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
SNUBBULL,2,2,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ROUTE33,10-13,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
SLUGMA,2,2,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_BURNED_TOWER_1F,18-21,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
POOCHYENA,3,3,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ROUTE35,14-17,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
TAILLOW,3,2,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ROUTE38,21-23,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
SURSKIT,3,3,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_FOGGY_SHORE,15-24,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
SKITTY,3,1,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ROUTE43,25-27,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
VOLBEAT_ILLUMISE,3,2,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_KITAKAMI_BORDER,42-48,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
GULPIN,3,2,Implementado,land_mons/water_mons/fishing_mons (substituição de slot),MAP_ROUTE44,32-40,Substituição de 1 slot redundante; espécie original preservada no slot remanescente da mesma tabela.
