Familia,Pokemon_com_innate,Innates_implementadas,Entrada_proposta,Constante_entrada,Metodo,Mapa_ou_sistema,Tabela,Horario_sugerido,Nivel_min,Nivel_max,Taxa_do_slot,Slot_duplicado_a_substituir,Obtencao_do_resto_da_familia,Justificativa,Status_proposta
BURMY,MOTHIM PLANT; MOTHIM SANDY; MOTHIM TRASH,"MOTHIM PLANT: COMPOUND_EYES, WINDCALLER, MANEUVERABILITY | MOTHIM SANDY: COMPOUND_EYES, WINDCALLER, MANEUVERABILITY | MOTHIM TRASH: COMPOUND_EYES, WINDCALLER, MANEUVERABILITY",Burmy Plant,SPECIES_BURMY_PLANT,Encontro na floresta,MAP_ILEX_FOREST,land_mons,Qualquer,12,18,1%,SPECIES_ODDISH (slot 12),Burmy evolui para Wormadam ou Mothim conforme sexo; os três mantos vêm do sistema de formas.,Forma especial: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
PATRAT,Patrat; Watchog,"Patrat: UNDERDOG | Watchog: STAKEOUT, UNDERDOG, MANEUVERABILITY",Patrat,SPECIES_PATRAT,Grama,MAP_ROUTE29,land_mons,Noite,2,2,1%,SPECIES_HOOTHOOT (slot 12),Evoluir para Watchog.,NORMAL: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
LILLIPUP,Lillipup; Herdier; Stoutland,"Lillipup: GUARD_DOG | Herdier: PICKUP, GUARD_DOG | Stoutland: GUARD_DOG, PACK_LEADER, UNDERDOG",Lillipup,SPECIES_LILLIPUP,Grama,MAP_ROUTE32,land_mons,Manhã/dia,7,12,1%,SPECIES_APPLIN (slot 12),Evoluir para Herdier e Stoutland.,NORMAL: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
PURRLOIN,Purrloin; Liepard,"Purrloin: MANEUVERABILITY | Liepard: MANEUVERABILITY, INFILTRATOR, SUPER_LUCK",Purrloin,SPECIES_PURRLOIN,Grama,MAP_ROUTE35,land_mons,Noite,16,20,1%,SPECIES_LUXIO (slot 12),Evoluir para Liepard.,DARK: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
PANSAGE,Pansage; Simisage,"Pansage: CHLOROPHYLL | Simisage: CHLOROPHYLL, GENERALIST, LEAF_GUARD",Pansage,SPECIES_PANSAGE,Grama rara,MAP_ILEX_FOREST,land_mons,Dia,12,16,1%,SPECIES_GRUBBIN (slot 11),Evoluir com a pedra configurada para Simisage.,GRASS: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
PANSEAR,Pansear; Simisear,"Pansear: SOLAR_POWER | Simisear: SOLAR_POWER, GENERALIST, FLASH_FIRE",Pansear,SPECIES_PANSEAR,Interior,MAP_BURNED_TOWER_1F,land_mons,Qualquer,19,23,1%,SPECIES_CHARCADET (slot 12),Evoluir com a pedra configurada para Simisear.,FIRE: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
PANPOUR,Panpour; Simipour,"Panpour: SWIFT_SWIM | Simipour: SWIFT_SWIM, GENERALIST, HYDRATION",Panpour,SPECIES_PANPOUR,Floresta próxima à água,MAP_ILEX_FOREST,land_mons,Dia,12,16,4%,SPECIES_VENIPEDE (slot 10),Evoluir com a pedra configurada para Simipour.,WATER: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
MUNNA,Munna; Musharna,"Munna: MAGIC_GUARD | Musharna: MAGIC_GUARD, SOOTHING, COMPETITIVE",Munna,SPECIES_MUNNA,Interior raro,MAP_SPROUT_TOWER_2F,land_mons,Noite,3,7,1%,SPECIES_MISDREAVUS (slot 12),Evoluir com a pedra configurada para Musharna.,PSYCHIC: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
PIDOVE,Pidove; Tranquill; Unfezant,"Pidove: UNDERDOG | Tranquill: UNDERDOG, PACK_LEADER | Unfezant: WINDCALLER, UNDERDOG, PACK_LEADER",Pidove,SPECIES_PIDOVE,Grama,MAP_ROUTE29,land_mons,Dia,2,2,1%,SPECIES_RATTATA (slot 11),Evoluir para Tranquill e Unfezant.,"NORMAL, FLYING: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.",PROPOSTA_SEGURA
BLITZLE,Blitzle; Zebstrika,"Blitzle: VOLT_ABSORB | Zebstrika: RECKLESS, VOLT_ABSORB, GALVANIZE",Blitzle,SPECIES_BLITZLE,Grama rara,MAP_ROUTE38,land_mons,Dia,19,26,1%,SPECIES_TAUROS (slot 12),Evoluir para Zebstrika.,ELECTRIC: entrada temática única; mantém pelo menos uma ocorrência de cada espécie já presente no mapa e evita slots separados para evoluções.,PROPOSTA_SEGURA
